SN,Result,TimeStamp,Remark,TestTime
1,PASS,12/22/2020_20:27:36,None,109.20714712142944
1,FAIL,12/22/2020_20:31:51,None,3.3293254375457764
tet,FAIL,12/22/2020_20:33:53,None,4.835471868515015
1,FAIL,12/22/2020_20:34:47,None,2.5896027088165283
1,FAIL,12/22/2020_20:37:47,flash_modem_pkg pynrfjprog.APIError.APIError: An error was reported by NRFJPROG DLL: -12 LOW_VOLTAGE.,4.332423686981201
